0x00000000 0x00B00413
0x00000004 0x00A00493
0x00000008 0x00100513
0x0000000C 0x10000937
0x00000010 0x00000593
0x00000014 0x00200C13
0x00000018 0x008000EF
0x0000001C 0x04000863
0x00000020 0x04A40463
0x00000024 0x00000593
0x00000028 0x03858633
0x0000002C 0x03860633
0x00000030 0x00C906B3
0x00000034 0x0006A283
0x00000038 0x0046A303
0x0000003C 0x0062C663
0x00000040 0x0066A023
0x00000044 0x0056A223
0x00000048 0x00158593
0x0000004C 0xFC95CEE3
0x00000050 0xFFF40413
0x00000054 0xFFC10113
0x00000058 0x00112023
0x0000005C 0xFC5FF0EF
0x00000060 0x00012083
0x00000064 0x00410113
0x00000068 0x00008067
0x0000006C END PROGRAM
0x10000000 0xa
0x10000004 0x28
0x10000008 0x1e
0x1000000C 0x2d
0x10000010 0x2d
0x10000014 0x2d
0x10000018 0xa
0x1000001C 0x18
0x10000020 0x2
0x10000024 0x2a
0x10000028 0x16
